Last_name,First_name,Family_affiliation,Hogwarts_house,Pure_blood,Member_of,Occupation_records,General_info
Prewett,Ignatius,"Prewett family, Black family",,TRUE,,,
Quirrell,Quirinus,,Ravenclaw,FALSE,,Professor,Defence Against the Dark Arts professor in Harry Potter's first year. Possessed by Lord Voldemort.
Ravenclaw,Helena,,Ravenclaw,,,Ghost,"The Grey Lady – Daughter of house founder Rowena Ravenclaw. Stole and hid her mother's diadem, and became Ravenclaw's house ghost after being killed by the Bloody Baron."
Ravenclaw,Rowena,,Ravenclaw,TRUE,Hogwarts Founder,,"One of the four founders of Hogwarts School of Witchcraft and Wizardry, and founder of the Ravenclaw house."
Riddle,Delphini,"Riddle family, Lestrange family, Black family",,FALSE,,,"Daughter of Tom Riddle (Voldemort) and Bellatrix Lestrange. Delphini was born in secret at Malfoy Manor. Euphemia Rowle took Delphi in and raised her, allegedly only because she was offered a substantial amount of gold. Being the only child of Lord Voldemort, she was able to speak Parseltongue. Delphi became the only known living heir of Salazar Slytherin after the demise of her father. Delphini was imprisoned in Azkaban for the murder of Craig Bowker Jr. Exactly like Voldemort and Bellatrix Lestrange, Delphini was intensely sadistic, being easily able to cast the Cruciatus Curse with malicious intent and proving to be a dangerous opponent, even for Harry Potter. Aside from being malicious, Delphini was independent and highly determined, orchestrating a complicated plan to restore Voldemort without any immediate assistance that she didn't gain through manipulating or exploiting other people, something Voldemort himself had possessed. Exactly like Voldemort and Bellatrix Lestrange, Delphini was intensely sadistic, being easily able to cast the Cruciatus Curse with malicious intent and proving to be a dangerous opponent for even Harry Potter. Aside from being malicious, Delphini was independent and highly determined, orchestrating a complicated plan to restore Voldemort without any immediate assistance that she didn't gain through manipulating or exploiting other people, something Voldemort himself had possessed. Delphi was a highly skilful duellist. She quickly defeated the Head of the Department of Magical Law Enforcement Harry Potter, and it took the combined might of him, Minister for Magic Hermione Granger and seasoned duellists Ronald Weasley and Draco Malfoy to defeat her, showing her proficiency in martial magic."
Riddle,Mary,Riddle family,,FALSE,,,"Thomas Riddle Sr.'s Muggle wife, and Thomas Riddle Jr.'s mother. Killed by her grandson, Lord Voldemort."
Riddle,Thomas Sr.,Riddle family,,FALSE,,,Mary's Muggle husband and Thomas Riddle Jr.'s father. Killed by Voldemort.
Riddle,Thomas Jr.,Riddle family,,FALSE,,,"Voldemort's Muggle father and Merope Gaunt's husband. Killed by his son, Lord Voldemort."
Riddle,Tom,"Riddle family, Gaunt family",Slytherin,FALSE,Slug club,Student,Thomas - Marvolo. Slytherin student who became Lord Voldemort.
Robins,Demelza,,Gryffindor,,,Student,Gryffindor student and Quidditch Chaser.
Rookwood,Augustus,,,FALSE,,,Death Eater and spy working in the Department of Mysteries.
Ross,Isobel,,,TRUE,,,"Mother of Minerva, Malcolm and Robert Jr. She married muggle Robert McGonagall. Isobel played as a Quidditch Captain in her youth at Hogwarts"
Rowle,Euphemia,,,TRUE,,,
Rowle,Thorfinn,,,TRUE,Death Eater,,"He fought at the Battle of the Astronomy Tower, where he accidentally killed fellow Death Eater Gibbon, burned Rubeus Hagrid's cabin, and tortured Harry Potter."
Runcom,Albert,,,TRUE,,Ministry of magic,Ministry of Magic employee whose chief function was as an investigator of alleged Muggle-borns.
Scamander,Lorcan,"Scamander family, Lovegood family, Goldstein family",,FALSE,,,"Son of Luna Lovegood and Rolf Scamander. When his mother travelled to the Patagonian Desert, in Argentina, to attend the final of the 427th Quidditch World Cup, in July 2014, Lorcan was left at home with his grandfather Xenophilius, along with his twin brother, Lysander. Great-grandson of Newt Scamander and Porpentina Goldstein."
Scamander,Lysander,"Scamander family, Lovegood family, Goldstein family",,FALSE,,,Son of Luna Lovegood and Rolf Scamander. Twin brother of Lorcan. Great-grandson of Newt Scamander and Porpentina Goldstein.
Scamander,Newt,"Scamander family, Goldstein family",Hufflepuff,TRUE,,,Newton Scamander. Magizoologist and author of Fantastic Beasts and Where to Find Them. Main character in the Fantastic Beasts film series. Expelled Hogwarts student who excels in curing different sicknesses.
Scamander,Rolf,"Scamander family, Lovegood family, Goldstein family",,FALSE,,Daily Prophet,Husband of Luna Lovegood. Grandson of Newt Scamander and Porpentina Goldstein. British wizard in the employment of the Daily Prophet who followed the footprints of his famous grandfather and became a magizoologist.
Scamander,Theseus,"Scamander family, Lestrange family",Hufflepuff,TRUE,,Auror,Brother of Newt Scamender. Fiancée of Leta Lestrange. He was involved in WWI and was regarderd a hero.
Scrimgeur,Rufus,,,TRUE,,Auror,Head of the Auror Office who replaces Cornelius Fudge as Minister for Magic. Killed by Death Eaters.
Shacklebolt,Kingsley,,,TRUE,"Order of the Phoenix, Advance Guard",Auror,Auror and member of the Order of the Phoenix. Replaces Pius Thicknesse as Minister for Magic.
Shunpike,Stan,,,FALSE,Death Eater,,Conductor of the triple-decker Knight Bus. Jailed in Azkaban on suspicions of being a Death Eater.
Sinistra,Aurora,,,FALSE,,Professor,Astronomy professor at Hogwarts.
Skeeter,Rita,,,FALSE,,Daily Prophet,Reporter and tabloid journalist for the Daily Prophet.
Slinkhard,Wendy,,,FALSE,Slug club,,"Writer, and kin to Wilbert Slinkhard."
Slughorn,Horace,,Slytherin,TRUE,Slug club,Professor,"Former Hogwarts Potions professor and Head of Slytherin House, whose charges included Tom Riddle. Returned to Hogwarts to teach Potions in Harry's sixth year."
Slytherin,Salazar,,Slytherin,TRUE,Hogwarts Founder,,"One of the four founders of Hogwarts School of Witchcraft and Wizardry, and founder of the Slytherin house. He believed that Muggle-borns should not attend Hogwarts."
Smith,Zacharias,,Hufflepuff,FALSE,,Student,Hufflepuff Quidditch Chaser in Harry's year. Member of Dumbledore's Army.
Snape,Eileen,Prince family,Slytherin,TRUE,,,"Eileen Prince. Mother of Severus Snape. While at school, Eileen was captain of the school Gobstones team during her fifth year."
Snape,Severus,Prince family,Slytherin,FALSE,"Order of the Phoenix, Death Eater, Slug club",Professor,"Potions and later Defence Against the Dark Arts professor at Hogwarts. Head of Slytherin House, and member of both the Death Eaters and the Order of the Phoenix as a double agent spying for Dumbledore. Severus was raised in the Muggle dwelling of Spinner's End, which was in close proximity to the home of the Evans family, though in a poorer area. He met Lily and Petunia Evans when he was nine and fell deeply in love with Lily, becoming a close friend of hers. He both loved Harry Potter, as he reminded him of his childhood friend Lily Evans Potter with whom his remained in love until his end. At the same time he dispised him because he also reminded him of his father, James who was bullying him severely when they were students.Half-Blood Prince."
Snape,Tobias,,,FALSE,,,Muggle father of Severus Snape. He married Eileen Prince.
Spinnet,Alicia,,Gryffindor,FALSE,,Student,Gryffindor student two years above Harry. Quidditch Chaser and member of Dumbledore's Army.
Sprout,Pomona,,Hufflepuff,FALSE,,Professor,Hogwarts Herbology professor and Head of Hufflepuff House.
Thicknesse,Pius,,,TRUE,,Ministry of magic,Minister for Magic while under the Imperius Curse. Replaced by Kingsley Shacklebolt.
Thomas,Dean,,Gryffindor,FALSE,Dumbledore's Army,Student,Gryffindor student in Harry's year. Member of Dumbledore's Army.
Tonks,Andromeda,"Black family, Tonks family",,TRUE,,,"Sister of Bellatrix Lestrange and Narcissa Malfoy, and the mother of Nymphadora Tonks. Disowned by her family for marrying Muggle-born Ted Tonks."
Tonks,Nymphadora,"Lupin family, Tonks family",Hufflepuff,FALSE,"Order of the Phoenix, Advance Guard",,"Nymphadora Lupin. Ted and Andromeda's daughter. Auror and member of the Order of the Phoenix. She marries Remus Lupin and becomes the mother of a son, Teddy, before she and Remus are killed in the Battle of Hogwarts."
Tonks,Ted,,,FALSE,,,"Andromeda's Muggle-born husband, and the father of Nymphadora Tonks. Killed by Snatchers."
Tralawney,Sybill,,Ravenclaw,FALSE,,,Hogwarts Divination professor. Predicted the prophecy that prompted Lord Voldemort to go after the Potters.
Tremblay,Bernard,Tremlay family,,TRUE,,,Husband of Leonie Tremblay.
Tremblay,Falco I,Tremlay family,,TRUE,,,Father of Bernard
Tremblay,Falco II,Tremlay family,,TRUE,,,Grandson of Falco I.
Tremblay,Leonie,"Tremblay family, Lestrange family",,TRUE,,,"Wife of Bernard Ttremblay. had two children with him, daughter Clarisse and son Falco."
Wilkie,Twycross,,,FALSE,,,Hogwarts Apparition instructor who works in the Department of Magical Transportation.
Umbridge,Dolores,,,FALSE,,Ministry of magic,"Senior Undersecretary to the Minister for Magic, Hogwarts High Inquisitor and temporary Headmistress of Hogwarts. She becomes Defence Against the Dark Arts professor in Harry Potter's fifth year, and joins in the persecution of half-bloods and Muggle-borns under Voldemort. Sentenced to life imprisonment in Azkaban."
Urquart,Elphinstone,"Urquart family, McGonagall family",,TRUE,,Magical Law Enforcement,Husband of Minerva McGonagall. He accidentally died from a venomous tentacula bite.
Vance,Emmeline,,,FALSE,"Order of the Phoenix, Advance Guard",,Member of the Order of the Phoenix and of the Advance Guard that retrieved Harry Potter from 4 Privet Drive and escorted him to 12 Grimmauld Place. Killed by Death Eaters.
Vane,Romilda,,Gryffindor,FALSE,Dumbledore's Army,,Gryffindor student who unsuccessfully tries to romance Harry.
Vector,Septima,,,TRUE,,Professor,Arithmancy professor at Hogwarts.
Voldemort,Lord,,Slytherin,FALSE,,,He who must not be named. You know who. The villain of the series. Murderer of Harry Potter's parents and many others in his quest for immortality and absolute power.
Warren,Myrtle,,Ravenclaw,FALSE,,,"Moaning Myrtle – Muggle-born Ravenclaw student during Tom Riddle's time at Hogwarts. Killed by the Basilisk in a girls' bathroom, which she continued to haunt after her death."
Weasley,Arthur,Weasley family,Gryffindor,TRUE,,,"Muggle-obsessed Ministry of Magic employee, and member of the Order of the Phoenix. Husband of Molly Weasley, father of Bill, Charlie, Percy, Fred, George, Ron, and Ginny Weasley."
Weasley,Bill,Weasley family,Gryffindor,TRUE,,,Oldest son of Arthur and Molly Weasley. Gringotts employee. Marries Fleur Delacour. Father of Victoire Weasley.
Weasley,Charlie,Weasley family,Gryffindor,TRUE,,,Second son of Arthur and Molly Weasley. Member of the Order of the Phoenix. Works with dragons in Romania.
Weasley,Dominique,"Weasley family, Delacour family, Prewett family",Slytherin,FALSE,,,Daughter of Bill Weasley and Fleur Delacour.
Weasley,Fred,Weasley family,Gryffindor,TRUE,,,"Son of Arthur and Molly Weasley and identical twin brother of George Weasley. Gryffindor Quidditch Beater and member of Dumbledore's Army, later co-owner of joke shop Weasleys' Wizard Wheezes. Killed in the Battle of Hogwarts."
Weasley,George,Weasley family,Gryffindor,TRUE,,,"Son of Arthur and Molly Weasley and identical twin brother of Fred Weasley. Gryffindor Quidditch Beater and member of Dumbledore's Army. Co-owner of Weasleys' Wizard Wheezes. He fought in the Battle of Hogwarts in 1998, during which he lost his twin brother Fred."
Weasley,Ginny,Weasley family,Gryffindor,TRUE,Slug club,Daily Prophet,"Ginevra Weasley. Only daughter and youngest child of Arthur and Molly Weasley. Gryffindor student one year below Harry, Quidditch Seeker and Chaser, and member of Dumbledore's Army. Ginny is the wife of Harry Potter. She caught Professor Slughorn's attention when she cast the seemingly difficult Bat-Bogey Hex. Professional Quidditch player for the Holyhead Harpies. Upon retiring from the Harpies, she became the senior Quidditch correspondent for the Daily Prophet."
Weasley,Hugo,"Weasley family, Granger family",Gryffindor,FALSE,,,"Son of Ron Weasley and Hermione Granger, brother of Rose Weasley."
Weasley,Louis,"Weasley family, Delacour family, Prewett family",Hufflepuff,FALSE,,,Son of Bill Weasley and Fleur Delacour.
Weasley,Molly,"Prewett family, Weasley family",Gryffindor,TRUE,,,"Wife of Arthur Weasley and mother of Bill, Charlie, Percy, Fred, George, Ron, and Ginny. Member of the Order of the Phoenix."
Weasley,Percy,Weasley family,Gryffindor,TRUE,,,"Percy Ignatius Weasley. Third son of Arthur and Molly Weasley. Gryffindor prefect and Head Boy, then Ministry of Magic employee, during which he becomes estranged from his family before joining them in fighting the Death Eaters in the Battle of Hogwarts."
Weasley,Ron,Weasley family,Gryffindor,TRUE,,,"Ronald Bilius Weasley. Youngest son of Arthur and Molly Weasley who is best friends with Harry Potter. Husband of Hermione Granger. Gryffindor Quidditch Keeper, prefect, and co-founder of Dumbledore's Army. He skipped his last year of school in order to accompany Harry and Hermione on a hunt to destroy all of Lord Voldemort's Horcruxes. fought in the Battle of Hogwarts in 1998, during which he lost his brother Fred. After the war, Ron became an Auror and helped reform and revolutionise the Ministry of Magic. After two years as an Auror, he went to work at Weasleys' Wizard Wheezes with his brother George. He is the godfather of James Sirius Potter."
Weasley,Rose,"Weasley family, Granger family",Gryffindor,FALSE,,,Gryffindor Quidditch Keeper and captain four years above Harry.
Weasley,Septimus,Weasley family,Gryffindor,TRUE,,,"Because he was considered to be a blood traitor by the Black family, his wife Cedrella was removed from the Black family tree."
Weasley,Victoire,"Weasley family, Delacour family, Prewett family",Gryffindor,FALSE,,,Daughter of Bill Weasley and Fleur Delacour. Victoire is the last character introduced during the Harry Potter series
Wood,Oliver,,Gryffindor,FALSE,,,Daughter of Ron Weasley and Hermione Granger. Sister of Hugo Weasley.
Worple,Eldred,,,TRUE,Slug club,,Writer of Blood Brothers: My Life Amongst the Vampires.
Yaxley,Corban,,,TRUE,Death Eater,,"Death Eater. Head of Magical Law Enforcement under Voldemort's regime. Yaxley did not search for Voldemort after his first downfall, but this was forgiven after Voldemort's return."
Zabini,Blaise,,Slytherin,TRUE,Slug club,,"Slytherin student in Harry's year. His mother was a beautiful witch who has wedded and been widowed at least seven times, thus inheriting a great deal of wealth from her former husbands."
